종목코드,종목명
000150,두산
000270,기아
000660,SK하이닉스
000810,삼성화재
003550,LG
005380,현대차
005490,POSCO홀딩스
005930,삼성전자
005935,삼성전자우
006400,삼성SDI
006800,미래에셋증권
009150,삼성전기
009540,HD한국조선해양
010120,LS ELECTRIC
010130,고려아연
010140,삼성중공업
010950,S-Oil
011200,HMM
012330,현대모비스
012450,한화에어로스페이스
015760,한국전력
017670,SK텔레콤
018260,삼성에스디에스
024110,기업은행
028260,삼성물산
032830,삼성생명
033780,KT&G
034020,두산에너빌리티
034730,SK
035420,NAVER
035720,카카오
042660,한화오션
042700,한미반도체
051910,LG화학
055550,신한지주
066570,LG전자
068270,셀트리온
079550,LIG디펜스앤에어로스페이스
086790,하나금융지주
096770,SK이노베이션
105560,KB금융
138040,메리츠금융지주
207940,삼성바이오로직스
267250,HD현대
267260,HD현대일렉트릭
298040,효성중공업
316140,우리금융지주
329180,HD현대중공업
373220,LG에너지솔루션
402340,SK스퀘어
